1,1,32,2,3
2,2,57,2,3.1
3,3,59,2,4.5
4,4,22,1,2
5,5,57,2,3.1
6,6,77,1,3
7,7,22,1,2
8,8,28,2,2
9,9,39,1,4.25
10,10,58,2,3.5
11,11,56,1,2.55
12,12,33,2,3.5
13,13,51,1,3
14,14,57,1,3.1
15,15,87,2,3
16,16,47,2,3
17,17,79,1,3.75
18,18,42,1,2.5
19,19,59,2,4.5
20,20,61,1,4.75
21,21,33,2,3.5
22,22,56,2,2.55
23,23,69,1,3.25
24,24,56,1,2.55
25,25,40,1,3.75
26,26,43,1,3
27,27,76,1,3.5
28,28,45,2,3
29,29,71,1,3.75
30,30,40,2,3.75
31,31,38,1,3.75
32,32,26,1,3
33,33,27,2,3.5
34,34,29,2,2.5
35,35,54,1,2.5
36,36,26,1,3
37,37,55,1,4
38,38,40,2,3.75
39,39,45,1,3
40,40,45,2,3
41,41,24,1,3
42,42,60,2,3.75
43,43,78,1,4.5
44,44,56,1,2.55
45,45,77,1,3
46,46,44,1,2.5
47,47,56,2,2.55
48,48,48,1,2.5
49,49,23,1,2.5
50,50,46,1,2.5
51,51,32,1,3
52,52,47,2,3
53,53,43,2,3
54,54,25,2,2.2
55,55,59,1,4.5
56,56,38,1,3.75
57,57,45,1,3
58,58,34,1,2.45
59,59,36,2,3.75
60,60,74,1,3.5
61,61,53,1,3
62,62,41,2,4.25
63,63,41,1,4.25
64,64,45,2,3
65,65,79,1,3.75
66,66,54,2,2.5
67,67,24,1,3
68,68,37,2,3
69,69,40,2,3.75
70,70,37,2,3
71,71,69,1,3.25
72,72,50,1,2.5
73,73,47,1,3
74,74,40,2,3.75
75,75,72,1,3.25
76,76,35,1,3.1
77,77,23,1,2.5
78,78,43,2,3
79,79,22,1,2
80,80,32,2,3
81,81,36,2,3.75
82,82,26,1,3
83,83,71,1,3.75
84,84,32,2,3
85,85,54,1,2.5
86,86,41,2,4.25
87,87,25,2,2.2
88,88,23,2,2.5
89,89,54,1,2.5
90,90,56,2,2.55
91,91,58,2,3.5
92,92,74,1,3.5
93,93,47,2,3
94,94,35,1,3.1
95,95,70,1,3.25
96,96,60,1,3.75
97,97,59,1,4.5
98,98,36,2,3.75
99,99,51,2,3
100,100,61,2,4.75
101,101,47,1,3
102,102,23,2,2.5
103,103,73,1,3.75
104,104,38,1,3.75
105,105,76,1,3.5
106,106,22,1,2
107,107,38,1,3.75
108,108,75,1,3.5
109,109,47,2,3
110,110,75,1,3.5
111,111,39,2,4.25
112,112,59,1,4.5
113,113,51,2,3
114,114,59,1,4.5
115,115,47,1,3
116,116,79,1,3.75
117,117,46,1,2.5
118,118,43,1,3
119,119,45,2,3
120,120,54,2,2.5
121,121,51,2,3
122,122,60,1,3.75
123,123,31,1,2.2
124,124,60,2,3.75
125,125,77,1,3
126,126,49,2,3
127,127,40,2,3.75
128,128,44,2,2.5
129,129,33,2,3.5
130,130,56,2,2.55
131,131,35,2,3.1
132,132,78,1,4.5
133,133,23,1,2.5
134,134,24,1,3
135,135,51,2,3
136,136,72,1,3.25
137,137,54,2,2.5
138,138,75,1,3.5
139,139,60,1,3.75
140,140,71,1,3.75
141,141,52,2,2.5
142,142,25,2,2.2
143,143,38,1,3.75
144,144,30,1,3
145,145,50,2,2.5
146,146,54,1,2.5
147,147,72,1,3.25
148,148,26,2,3
149,149,36,2,3.75
150,150,45,2,3
151,151,33,2,3.5
152,152,57,1,3.1
153,153,37,2,3
154,154,50,1,2.5
155,155,79,1,3.75
156,156,60,2,3.75
157,157,29,1,2.5
158,158,49,2,3
159,159,35,2,3.1
160,160,75,1,3.5
161,161,36,1,3.75
162,162,47,1,3
163,163,44,1,2.5
164,164,27,2,3.5
165,165,52,2,2.5
166,166,46,1,2.5
167,167,24,1,3
168,168,43,1,3
169,169,35,1,3.1
170,170,28,2,2
171,171,50,2,2.5
172,172,38,2,3.75
173,173,35,2,3.1
174,174,50,2,2.5
175,175,25,2,2.2
176,176,49,2,3
177,177,60,2,3.75
178,178,24,1,3
179,179,41,2,4.25
180,180,44,2,2.5
181,181,38,1,3.75
182,182,54,2,2.5
183,183,29,2,2.5
184,184,31,2,2.2
185,185,60,1,3.75
186,186,49,2,3
187,187,53,1,3
188,188,60,1,3.75
189,189,53,1,3
190,190,52,1,2.5
191,191,28,2,2
192,192,56,1,2.55
193,193,23,1,2.5
194,194,33,1,3.5
